crop,cutoff,seed,model,percent,year,rmse
maize,2009,48,lightgbm,70,2013,0.832060615632045
maize,2009,48,lightgbm,70,2014,0.757245109553383
maize,2009,48,lightgbm,70,2015,1.5835724868698282
maize,2009,48,lightgbm,70,2016,0.6834894822749715
maize,2009,48,random_forest,70,2010,0.7317907610593481
maize,2009,48,random_forest,70,2011,0.8191845123570013
maize,2009,48,random_forest,70,2012,1.170006674150231
maize,2009,48,random_forest,70,2013,0.8289504796878944
maize,2009,48,random_forest,70,2014,0.8096755388872112
maize,2009,48,random_forest,70,2015,1.5768772085724945
maize,2009,48,random_forest,70,2016,0.7446912678313344
rice,2001,42,world,70,2002,0.6191478385914932
rice,2001,42,world,70,2003,1.0419529990069814
rice,2001,42,world,70,2004,0.6789659243871922
rice,2001,42,lightgbm,70,2002,0.6546554477773677
rice,2001,42,lightgbm,70,2003,1.1101084717745107
rice,2001,42,lightgbm,70,2004,0.7068761277220461
rice,2001,42,random_forest,70,2002,0.5892859741863594
rice,2001,42,random_forest,70,2003,1.0992248583529867
rice,2001,42,random_forest,70,2004,0.6846119626690148
rice,2001,45,world,70,2002,0.6134827647085024
rice,2001,45,world,70,2003,1.0493497425625227
rice,2001,45,world,70,2004,0.6773152641512528
rice,2001,45,lightgbm,70,2002,0.6541357534193801
rice,2001,45,lightgbm,70,2003,1.1141642408194279
rice,2001,45,lightgbm,70,2004,0.7035515997990083
rice,2001,45,random_forest,70,2002,0.5871847347288586
rice,2001,45,random_forest,70,2003,1.0738512503869158
rice,2001,45,random_forest,70,2004,0.6887022137008512
rice,2001,48,world,70,2002,0.6154586850504205
rice,2001,48,world,70,2003,1.0607790388727187
rice,2001,48,world,70,2004,0.6928567807197205
rice,2001,48,lightgbm,70,2002,0.6589139864499045
rice,2001,48,lightgbm,70,2003,1.1206678917381996
rice,2001,48,lightgbm,70,2004,0.7039365973037922
rice,2001,48,random_forest,70,2002,0.5854258856939156
rice,2001,48,random_forest,70,2003,1.0955711639526204
rice,2001,48,random_forest,70,2004,0.6832214452200339
rice,2005,42,world,70,2006,0.6302683054458484
rice,2005,42,world,70,2007,0.6476281964217837
rice,2005,42,world,70,2008,0.8376400804870817
rice,2005,42,lightgbm,70,2006,0.6118844056068332
rice,2005,42,lightgbm,70,2007,0.6449462039010163
rice,2005,42,lightgbm,70,2008,0.8046255354409682
rice,2005,42,random_forest,70,2006,0.5869896969612319
rice,2005,42,random_forest,70,2007,0.5993777002770333
rice,2005,42,random_forest,70,2008,0.7896514721354599
rice,2005,45,world,70,2006,0.6235429651321762
rice,2005,45,world,70,2007,0.6556720594629862
rice,2005,45,world,70,2008,0.8362196504833657
rice,2005,45,lightgbm,70,2006,0.6056565230251388
rice,2005,45,lightgbm,70,2007,0.6375332143319334
rice,2005,45,lightgbm,70,2008,0.8067413823263778
rice,2005,45,random_forest,70,2006,0.5899470301957954
rice,2005,45,random_forest,70,2007,0.6004656937333002
rice,2005,45,random_forest,70,2008,0.791345949019401
rice,2005,48,world,70,2006,0.6329398064962237
rice,2005,48,world,70,2007,0.6490118077663392
rice,2005,48,world,70,2008,0.8455897221171526
rice,2005,48,lightgbm,70,2006,0.6060096314236981
rice,2005,48,lightgbm,70,2007,0.632409437070079
rice,2005,48,lightgbm,70,2008,0.8083394860436792
rice,2005,48,random_forest,70,2006,0.5858637454537297
rice,2005,48,random_forest,70,2007,0.6016794419932574
rice,2005,48,random_forest,70,2008,0.7911961296613206
rice,2009,42,world,70,2010,0.852654597755858
rice,2009,42,world,70,2011,0.6761515429996421
rice,2009,42,world,70,2012,0.7024904792962486
rice,2009,42,world,70,2013,0.815834586145488
rice,2009,42,world,70,2014,0.849539285863581
rice,2009,42,world,70,2015,0.9138391297075086
rice,2009,42,world,70,2016,0.6944520194529363
rice,2009,42,lightgbm,70,2010,0.8909336580527936
rice,2009,42,lightgbm,70,2011,0.7256455425922624
rice,2009,42,lightgbm,70,2012,0.8119256856151615
rice,2009,42,lightgbm,70,2013,0.8062474758307615
rice,2009,42,lightgbm,70,2014,0.9207831445942419
