crop,seed,model,percent,year,rmse
maize,42,world,10,2002,0.6313530114599294
maize,42,world,10,2003,1.0765939941994664
maize,42,world,10,2004,0.8030034360043635
maize,42,world,30,2002,0.6363449013069921
maize,42,world,30,2003,1.0812716788227306
maize,42,world,30,2004,0.8067351387157927
maize,42,world,50,2002,0.6409156569337444
maize,42,world,50,2003,1.0825825162284315
maize,42,world,50,2004,0.8118671010353082
maize,45,world,10,2002,0.6314429430989693
maize,45,world,10,2003,1.0821989623111052
maize,45,world,10,2004,0.8015856769577906
maize,45,world,30,2002,0.635453968214842
maize,45,world,30,2003,1.0874468544992135
maize,45,world,30,2004,0.8024994145467957
maize,45,world,50,2002,0.6398415110078457
maize,45,world,50,2003,1.089541990155831
maize,45,world,50,2004,0.8049667292028588
maize,48,world,10,2002,0.6387594860542516
maize,48,world,10,2003,1.093202302178396
maize,48,world,10,2004,0.7935627768090779
maize,48,world,30,2002,0.6428062925171161
maize,48,world,30,2003,1.0980786962698212
maize,48,world,30,2004,0.7953589870186681
maize,48,world,50,2002,0.6453250945700862
maize,48,world,50,2003,1.0998623840725896
maize,48,world,50,2004,0.7983377729246497
maize,42,world,10,2006,0.6364427791912357
maize,42,world,10,2007,0.7298960074123663
maize,42,world,10,2008,0.7023265231699043
maize,42,world,30,2006,0.636725627832251
maize,42,world,30,2007,0.7301046738032252
maize,42,world,30,2008,0.7053024199458678
maize,42,world,50,2006,0.6435787163194655
maize,42,world,50,2007,0.7313033581139221
maize,42,world,50,2008,0.7082996325874936
maize,45,world,10,2006,0.6323040712972077
maize,45,world,10,2007,0.7309991711922813
maize,45,world,10,2008,0.7045882136705307
maize,45,world,30,2006,0.6332172170607528
maize,45,world,30,2007,0.7366633869998092
maize,45,world,30,2008,0.7091769112808318
maize,45,world,50,2006,0.6405528323127988
maize,45,world,50,2007,0.7435375270238981
maize,45,world,50,2008,0.7115057003756053
maize,48,world,10,2006,0.6477955238313432
maize,48,world,10,2007,0.7307871382519383
maize,48,world,10,2008,0.7079940106672672
maize,48,world,30,2006,0.6489288096817057
maize,48,world,30,2007,0.7359558501101234
maize,48,world,30,2008,0.7139018968576278
maize,48,world,50,2006,0.655198343411384
maize,48,world,50,2007,0.7376441052391051
maize,48,world,50,2008,0.7185965231022512
maize,42,world,10,2010,0.7203232845792805
maize,42,world,10,2011,0.785795129138293
maize,42,world,10,2012,1.0512515410756038
maize,42,world,10,2013,0.8162831519065936
maize,42,world,10,2014,0.7540188411079584
maize,42,world,10,2015,1.5307515869473045
maize,42,world,10,2016,0.6934091061795126
maize,42,world,30,2010,0.7255309823899272
maize,42,world,30,2011,0.7847833894814219
maize,42,world,30,2012,1.049557758799906
maize,42,world,30,2013,0.8197832508220273
maize,42,world,30,2014,0.7557143999202909
maize,42,world,30,2015,1.5336520380944934
maize,42,world,30,2016,0.6925383490648022
maize,42,world,50,2010,0.733647884003136
maize,42,world,50,2011,0.7827897609985235
maize,42,world,50,2012,1.045175365923189
maize,42,world,50,2013,0.8340441632232489
maize,42,world,50,2014,0.7615879753172998
maize,42,world,50,2015,1.5416318592371057
